"","applicable","male","female","nonBinary","desc","group","name","time"
"1",0,0,0,0,"<p><b>NOTE: This is a special DSDC/SPDC joint event. Please RSVP on the SPDC event page <a href=""http://www.meetup.com/stats-prog-dc/events/227886991/""><a href=""http://www.meetup.com/stats-prog-dc/events/227886991/"" class=""linkified"">http://www.meetup.com/stats-prog-dc/events/227886991/</a></a> to get an accurate count for food and drinks. FYI - The RSVP limit here is 0 (zero). Thank You.</b></p> <p>Please join us in the special DSDC/SDPC Event with Anthony Goldbloom, the CEO and Co-Founder of <a href=""http://www.kaggle.com/"">Kaggle</a>.</p> <p>Kaggle is a community of almost 450K data scientists who have built almost 2MM machine learning models to participate in our competitions. Data scientists come to Kaggle to learn, collaborate and develop the state of the art in machine learning. This talk will cover some of the lessons on winning techniques we have learned from the Kaggle community.</p> <p>SPDC is seeking sponsors. If you are interested in sponsoring this event please get in touch with us.</p> <p>6:30 - 7:00 - Mingle and Eat<br/>7:00 - 7:15 - Intros and Announcements<br/>7:15 - 8:30 - Presentation, Q&amp;A<br/>8:30ish - Data Drinks (TBD)</p>","Data Science DC","What has Kaggle learned from 2+ million models?",1452814200000
"2",0,0,0,0,"<p><b>Join us for January's Project Night!</b></p> <p>Project Nights are informal gatherings where attendees can bring their own projects and work together (or just next to each other). We'll have at least one experienced Python web developer on hand to help less experienced people with their projects.</p> <p>We host these project nights each month in addition to our normal talk meetups.</p> <p><b>Agenda</b></p> <p>• 6:30-6:45pm - Arrive, eat and catch up (thank <a href=""http://agencychief.com/"">Chief</a> for the food!)</p> <p><br/>• 6:45-7:00pm - Lightning talks (from whoever wants to present)</p> <p>• 7:00pm-8:45pm - Coworking</p> <p><b>What could you do at project night, you ask?</b></p> <p>• Work on your own side projects with other people doing the same </p> <p>• Get help learning Python (or Django or Flask) from more experienced developers. (Or, help mentor other attendees if you're already a whiz)</p> <p>• Ask for a code review for a project you've been working on by yourself </p> <p>• Talk through a particular problem with someone who has solved it before </p> <p>• Just hang out and have some cool conversations! </p> <p>We are cross-listing this event with <a href=""http://www.meetup.com/DCPython/events/226741327/"">DC Python's Office Hours</a>, so please RSVP to only one so we can get an accurate headcount.</p>","Django District, etc.™","January Project Night",1453246200000
"3",0,0,0,0,"<p>For the first meeting of the new year, let's gather to talk about what we'd like to see from our group in 2016!</p> <p>If you haven't been to DCPHP in a while (or ever!) you won't want to miss this chance to get to know your fellow community members and make your voice heard!</p> <p>Refreshments will be provided!</p>","DC PHP Developer's Community","DCPHP 2016 Kick-Off Social",1453332600000
"4",0,0,0,0,"<p><b>In order to be eligible to compete, you must register for this event on EventBrite</b>, Meetup.com RSVPs are mainly there for spectators and volunteers. <a href=""https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274""><a href=""https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274"" class=""linkified"">https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274</a></a></p> <p><br/>Are you a Java, .NET, Ruby, Python, or JavaScript developer looking for a challenge? Do you want to show off your coding, architecture, and engineering skills and prove why your tech stack of choice has what it takes to win the competition? Want to <b>win $750</b>? </p> <p><br/>Join us on Saturday, November 7th for a unique, single-day coding challenge where you will go head-to-head against some of the area’s top developers and compete to solve one of DC’s toughest challenges!</p> <p>Register Now: <a href=""https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274"" class=""linkified"">https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274</a></p> <p>What: Excella Coding Challenge 2016<br/>When: Saturday, January 30th, 2016<br/>Where: Arlington Tech Exchange</p> <p>Why should I be there?</p> <p>For the guts and the glory (obviously!). Contestants will also be competing for over $1500 in prizes, and will be provided with food, snacks, and door prizes to keep them going and fuel the creativity!</p> <p>How will it work?</p> <p>The event will take place in 2 rounds of time-limited challenges. The first round will include 10 coding challenges. Contestants will be ranked on a live scoreboard and the top two contestants in each bracket will proceed to the final round. Finalists will tackle a real-world coding challenge to release a cloud deployed REST API. If you don’t proceed to the 2nd round, don’t worry! Contestants who don’t make it to the finals will compete 2nd chance bracket where speed earns the winner a prize!</p> <p>Register Now: <a href=""https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274"" class=""linkified"">https://www.eventbrite.com/e/excella-coding-challenge-2015-registration-18967490274</a></p>","Tech Talk DC","Sponsor Event: Excella Coding Challenge 2016",1454158800000
"5",0,0,0,0,"<p>Q. What is <a href=""http://nodeschool.io/"">NodeSchool</a> ? </p> <p>A. Open source workshops that teach web software skills. </p> <p>There are 6 core NodeSchool workshops that teach the basic concepts of JavaScript, Node.js, npm, git... (javascripting, git-it, Scope Chains &amp; Closures, learnyounode, How to npm and stream-adventure) and electives, these are to learn popular libraries or styles of writing Node.js.  You will be paired off with another attendee at your level and together you will go through one of the NodeSchool workshops with support from your friendly, neighbohood mentors.</p> <p>Now that you know that, come and learn some Node.js flavored development! No previous experience required.  You will be paired off with someone at your skill level that is working on the same workshop you are. There will be mentors available to assist you if you need a hand completing a specific exercise within the 6 core workshops, or to answer your other node.js questions. </p> <p><br/>Prerequisites:</p> <p><br/>• bringing a laptop <br/>• <a href=""http://www.nodejs.org/download/"">Install Node.js</a> on that laptop (if you are having issues installing please tell a mentor when you arrive, so we can get you working).</p>","node.dc","NodeSchoolDC - January 2016",1454263200000
"6",0,0,0,0,"<p>Come code, learn, and be merry!</p> <p>This is a casual ""geek gathering"", where you can hack on a node.js project, get help/advice, or ask questions about anything node.js related. Anyone working with node.js at any level (or anyone wanting to work with it) is welcome.</p> <p>Attendance is free, and food and drink will be provided by Fluencia. Please keep your RSVP up to date and we will make sure you are all well fed.</p> <p>As usual, we’ll have three main groups:</p> <p>* Node newcomers! We will help you get started with node through <a href=""http://nodeschool.io"" class=""linkified"">http://nodeschool.io</a></p> <p>* Node advanced - We will break into groups to work on Nodeschool Electives <a href=""http://nodeschool.io"" class=""linkified"">http://nodeschool.io</a></p> <p>* Node ninjas - People working on an open-source project of their own and want help.</p> <p>======= TIMELINE =======<br/>6:30 pm - 7:00pm: Socialize &amp; gather<br/>7:15pm - 7:30pm: Brief introductions and goals for the evening<br/>7:30pm - END: Pair up and work on completing your goals END - END-ER: Grab a table at Heavy Seas to unwind and discuss!</p>","node.dc","The Return of Node Nights",1454628600000
"7",0,0,0,0,"<p><b>Join us for February's Project Night!</b></p> <p>Project Nights are informal gatherings where attendees can bring their own projects and work together (or just next to each other). We'll have at least one experienced Python web developer on hand to help less experienced people with their projects.</p> <p>We host these project nights each month in addition to our normal talk meetups.</p> <p><b>Agenda</b></p> <p>• 6:30-6:45pm - Arrive, eat and catch up (thank <a href=""http://agencychief.com/"">Chief</a> for the food!)</p> <p>• 6:45-7:00pm - Lightning talks (from whoever wants to present)</p> <p>• 7:00pm-8:45pm - Coworking</p> <p><b>What could you do at project night, you ask?</b></p> <p>• Work on your own side projects with other people doing the same </p> <p>• Get help learning Python (or Django or Flask) from more experienced developers. (Or, help mentor other attendees if you're already a whiz)</p> <p>• Ask for a code review for a project you've been working on by yourself </p> <p>• Talk through a particular problem with someone who has solved it before </p> <p>• Just hang out and have some cool conversations! </p> <p>We are cross-listing this event with <a href=""http://www.meetup.com/DCPython/events/227759774"">DC Python's Office Hours</a>, so please RSVP to only one so we can get an accurate headcount.</p>","Django District, etc.™","February Project Night",1455665400000
"8",0,0,0,0,"<p>Let's get together for a social event where we can discuss our current tech passions, network and get to know each other a bit better. We'd love for you to come and network, share future meetup ideas, volunteer to speak, or just share your interests. </p>","Tech Talk DC","February Social",1.45575e+12
"9",0,0,0,0,"<p>We are going to introduce ourselves to as much as we can of the full set of ES2015 features available in Node core (v4.x and v5.x) by assigning everybody attending the task of writing a ""hello world"" script that uses one ES2015 feature and then briefly sharing what they learned about the feature.</p> <p><b>How It Works:</b></p> <p>• Each attendee (or, more likely, group of attendees) will be assigned one ES2015 feature that's included Node core v4.x or v5.x.</p> <p>• Each attendee/group will create a public gist (written in markdown) with a functioning ""hello world"" script using their assigned feature.</p> <p>• The organizers will create a slideshow from the gists using <a href=""https://github.com/mcwhittemore/deck-lightning"">Deck Lightning</a>.</p> <p>• Each attendee/group will present their slide for the group. Each slide gets 90 seconds!</p> <p><br/><b>Schedule:</b></p> <p>6:30 - Arrive, socialize, and eat (food and beverage graciously sponsored by <a href=""https://strongloop.com/"">StrongLoop</a>)</p> <p>7:00 - Assign topics to attendees and get to work on our presentations</p> <p>7:30 - Present!</p>","node.dc","Hello World of ES2015 in Node Core",1455838200000
"10",0,0,0,0,"<p>Q. What is <a href=""http://nodeschool.io/"">NodeSchool</a> ? </p> <p>A. Open source workshops that teach web software skills. </p> <p>There are 6 core NodeSchool workshops that teach the basic concepts of JavaScript, Node.js, npm, git... (javascripting, git-it, Scope Chains &amp; Closures, learnyounode, How to npm and stream-adventure) and electives, these are to learn popular libraries or styles of writing Node.js.  You will be paired off with another attendee at your level and together you will go through one of the NodeSchool workshops with support from your friendly, neighbohood mentors.</p> <p>Now that you know that, come and learn some Node.js flavored development! No previous experience required.  You will be paired off with someone at your skill level that is working on the same workshop you are. There will be mentors available to assist you if you need a hand completing a specific exercise within the 6 core workshops, or to answer your other node.js questions. </p> <p><br/>Prerequisites:</p> <p><br/>• bringing a laptop <br/>• <a href=""http://www.nodejs.org/download/"">Install Node.js</a> on that laptop (if you are having issues installing please tell a mentor when you arrive, so we can get you working).</p>","node.dc","NodeSchoolDC - February 2016",1455991200000
