group,singleSpeaker,sum_male,sum_female,sum_nonBinary
AngularJS DC,yes,5,0,0
D.C. Cyber Security Professionals,no,19,0,0
D.C. Cyber Security Professionals,yes,9,0,0
DC Natural Language Processing,no,4,0,0
DC Natural Language Processing,yes,3,0,0
DC PHP Developer's Community,yes,6,0,0
DCJS,yes,5,0,0
Data Education DC,yes,9,0,0
Data Innovation DC,no,3,6,0
Data Innovation DC,yes,1,0,0
Data Science DC,yes,7,0,0
Data Visualization DC,no,6,2,0
Data Visualization DC,yes,5,0,0
Data Wranglers DC,no,2,0,0
Data Wranglers DC,yes,8,0,0
"Django District, etc.™",no,1,1,0
"Django District, etc.™",yes,6,0,0
Social Data and Analytics - DC,no,9,1,0
Statistical Programming DC,no,7,2,0
Statistical Programming DC,yes,5,0,0
Tech Talk DC,no,10,0,0
Tech Talk DC,yes,8,0,0
Washington DC Area Apache Spark Interactive,no,10,1,0
Washington DC Area Apache Spark Interactive,yes,3,0,0
node.dc,yes,4,0,0
