group,singleSpeaker,sum_male,sum_female,sum_nonBinary
AngularJS DC,yes,5,0,0
D.C. Cyber Security Professionals,yes,9,0,0
DC Natural Language Processing,yes,3,0,0
DC PHP Developer's Community,yes,6,0,0
DCJS,yes,5,0,0
Data Education DC,yes,9,0,0
Data Innovation DC,yes,1,0,0
Data Science DC,yes,7,0,0
Data Visualization DC,yes,5,0,0
Data Wranglers DC,yes,8,0,0
"Django District, etc.™",yes,6,0,0
Statistical Programming DC,yes,5,0,0
Tech Talk DC,yes,8,0,0
Washington DC Area Apache Spark Interactive,yes,3,0,0
node.dc,yes,4,0,0
