applicable,male,female,nonBinary,desc,group,name,time
,,,,"<p><b>**PLEASE NOTE THAT WE'RE MEETING AT OPEN SOURCE COWORKING THIS MONTH AND NOT BUFFALO BILLIARD'S!**</b></p> <p><b>Securing Applications Without Compromising User Experience<br/></b></p> <p><br/>Software is typically developed with the end user in mind. As software developers, we go to great lengths to ensure that users can have a seamless experience. However, allowing users to conveniently access their application allows attackers the opportunity to attack users with just as much ease. The eternal struggle that designers and developers face is striking a balance in design and security in order to not compromise the user but optimize his/her satisfaction. This talk will explore some practical strategies that can be implemented in order to improve the security posture of most applications without compromising on the user experience.</p> <p>

<b>Speaker bio:</b> David Vo is a senior consultant with nVisium’s Application Consulting practice. His specialties include application pen-test, source code reviews, and vulnerability analysis, including using fuzzing to find software vulnerabilities. He is also an expert in mobile security, including the Apple iOS and Android platforms.</p> <p>



<b>The State of Refresh</b></p> <p>Every year at the beginning of the year, we take a moment to do a ""retro"" of sorts and ask you — our community — what worked, what didn't, and what we can improve upon for Refresh Austin in the new year. Come give us your feedback, and let us know what topics you want to hear about in the new year!</p> <p>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Securing Applications Without Compromising User Experience,1452646800000
,,,,"<p><b>Bots on bots on botkit</b></p> <p>(Michael Way, Developer)</p> <p>The rise of the chat bots is upon us. There's a new tool to help making chat bots as simple as possible. Botkit is a node based open source project for all you need for a chat bot and possibly beyond. This is an introduction to botkit and what may be in store for the next generation of applications.</p> <p><br/><b>Getting to 90,000 ft and back again in 1-piece<br/></b></p> <p>(Tom Dickman, Shaun Dubuque, Developers, RetailMeNot)</p> <p>Ever wonder what the weather is like at 90,000 ft or itching for a good use for that new GoPro camera? Perfect, join Tom Dickman and Shaun Dubuque, both from RetailMeNot's Innovation group, as they discuss the do's and don'ts of launching a payload into the far reaches of the atmosphere. This talk with touch on everything from atmospheric sensors, GPS tracking at high altitudes, launch timing/planning, and the building of custom tracking software so you can track your balloon in real-time and improve your chances of a successful recovery.</p> <p>



------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin (Web Design & Development Meetup),1455066000000
,,,,"<p>It's back: Your favorite SXSW party with no free drinks, no mandatory RSVPs, and no badge required! That's right, it's our eighth annual pre-SXSW lunch at B.D. Riley's. </p> <p>Drop in for a pint. Or stay for a bite, and hang out for a while. </p> <p>Everyone is welcome. This is <b>a casual come-and-go-as-you-please lunchtime event</b>. Some appetizers will be provided for the group, but you’ll need to pick up your own tab--or even buy a round for your new friends.</p> <p><b>Note that this meetup is during the day--and not on our typical second Tuesday. We'll be back to our regularly scheduled programming in April.</b></p> <p>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p><b>•</b> Chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin: SXSW kickoff lunch,1457715600000
,,,,"<p><b>PLEASE RSVP ON TICKETBUD</b><b> --&gt;</b><a href=""https://austinonrails.ticketbud.com/sxsw-web-developer-happy-hour-2016-d34639587df6"" class=""linkified"">https://austinonrails.ticketbud.com/sxsw-web-developer-happy-hour-2016-d34639587df6</a></p> <p>You're invited to the once a year extravaganza that is the... SXSW WEB DEVELOPER HAPPY HOUR!</p> <p>Please join us on the Monday of SXSW for good conversation, appetizers, and a night out without the laptop. Buffalo Billiards has tons of games, such as darts, billiards, and shuffleboard. </p> <p>We invited bonafide web geek and designer Alex Baldwin to DJ our event. It's easily the best party for the HTTP set. </p> <p><b>Web developers of all stripes are welcome!</b></p>",Refresh Austin (Web Design & Developer Meetup),[Cross-post] SXSW Web Developer Happy Hour 2016,1457996400000
,,,,"<p>Did you notice something special this month? Yes, we had SXSW descend upon Austin, but more importantly we have five whole Tuesdays! Let's celebrate by grabbing a pint at The Ginger Man and catching up with some of your favorite people. There's tons to chat about: your favorite SXSW panels or anti-SXSW activities; how do you and your company deal with central points of failure in your software build; what's your favorite strategy for dealing with your allergies. The topics are endless!</p> <p>New to Austin or haven't heard of a #BeerSummit? They started as a friendly way to avoid the never ending rabbit hole of Twitter discussions. After three or four replies back and forth on the same subject, someone could propose a #BeerSummit and all discussion had to stop. You couldn't start back up again until everyone had a pint (ale, beer, root beer, water, didn't matter) in their hands sitting around the same table. They've evolved into a simple way to gather the community to talk tech without a schedule.</p> <p>Swing by for as long as you'd like and buy pint for a friend old or new!</p>",Refresh Austin (Web Design & Developer Meetup),5th Tuesday #BeerSummit!,1459296000000
,,,,"<p><b>Copywriting with Git</b><br/>Michael Neal, UI / UX Designer (@iammichaelneal)</p> <p>Attention copywriters and creative writers! Do you find yourself roaming from platform to platform, purchasing app after app, in search for the perfect distraction free writing environment that also accommodates your revision workflow, supporting experimental drafts and multiple collaborators? Why not build your own? Come see what the buzz is all about at this refresh talk, we'll lightly cover what it is like to use the free tools that developers use everyday and how you can use these tools to create your own personalized, distributable, distraction-free, writing environment for free.</p> <p><br/><b>Life after bootcamp: fighting stigma, and continuing your education.</b></p> <p>Last year, we talked to fresh-off-the-boat bootcamp grads as they started their career in tech. We thought we'd do a follow-up, and talk to other bootcamp grads who have been out of the bootcamp for a much longer time, or are even in their second job after bootcamp. How are they navigating their tech careers, do they face any stigma for being a bootcamp grad, and how to they keep their skills sharp?</p> <p>HUGE thanks to our sponsor thins month, <a href=""https://hired.com/"">Hired</a>!</p> <p><img src=""http://photos4.meetupstatic.com/photos/event/c/5/8/0/600_441530560.jpeg"" /></p> <p>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin (Web Design & Development Meetup),1460505600000
,,,,"<p><b>LIGHTNING TALKS</b></p> <p>Mateo Clarke — Civic Hacks: how to hack your city</p> <p>William Yarbrough — Cross-device experiences &amp; designing without screens</p> <p>Caleb Thompson — The Hacker's Diet</p> <p><br/>Ryan Joy — Bash on Ubuntu on Windows</p> <p><b>PROP 1 DISCUSSION — SPEAKERS TBD</b></p> <p>We're lining up a discussion on PROP 1. What does this decision mean for the tech community and Austin at large? What we can do to move forward? Information on who will be speaking coming soon, stay tuned to Twitter for announcements!</p> <p>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Lightning Talks & #Prop1 Discussion,1462924800000
,,,,"<p>It's that time of year again, a month with an extra Tuesday in it! The 5th Tuesday of May we're going to gather at Wright Brother's Brew &amp; Brew to grab a cold brew or pint. We'll be gathering over in the gallery in the space just next to the main space, so grab a drink then head over and say hi!</p> <p>New to Austin or haven't heard of a #BeerSummit? They started as a friendly way to avoid the never ending rabbit hole of Twitter discussions. After three or four replies back and forth on the same subject, someone could propose a #BeerSummit and all discussion had to stop. You couldn't start back up again until everyone had a pint (ale, beer, root beer, water, didn't matter) in their hands sitting around the same table. They've evolved into a simple way to gather the community to talk tech without a schedule.</p> <p>Swing by for as long as you'd like and buy pint for a friend old or new!</p>",Refresh Austin (Web Design & Developer Meetup),5th Tuesday #BeerSummit!,1464739200000
,,,,"<p><b>Javascript lightning talks</b></p> <p>• Intro to VueJS, Jason Romero</p> <p><br/>• SOLID-ly functional, Jared Stilwell</p> <p>• Your Own Dropbox: Starting with the Tessel 2, Chris Boette</p> <p>We can still fit one or two more lighting talks, so <a href=""https://docs.google.com/forms/d/18GGZmcmU9PTflWBepDDDUGY7d8PYsY9yFQMLRuRpNms/viewform"">sign up here</a>!</p> <p><b>The Economy of Keystrokes</b></p> <p>Kyle Simpson (<a href=""http://twitter.com/getify"">@getify</a>)</p> <p>What are you buying with that keystroke?</p> <p><br/>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin: Javascript edition,1465948800000
,,,,"<p><b>We’re All Impostors. Probably. </b></p> <p><br/>Casey Hunt (<a href=""https://twitter.com/caseymhunt"">@caseymhunt</a>)</p> <p>Impostor Complex: not officially recognized as a psychological disorder yet experienced by nearly everyone. As a Hybrid, I am a little bit of everything and therefore am none of those things. I’ve been an impostor all my life, literally living the mantra, “fake it ’til you make it.” Me, you, a half hour and some uncomfortable honesty. Let’s be impostors together and maybe, just maybe, I’ll help you figure out how to deal. ❤️</p> <p><b>Digital Security and Privacy for Non-Hackers. </b><br/>Dan DeFelippi (<a href=""https://twitter.com/ExpertDan"">@ExpertDan</a>)</p> <p>As geeks we're expected to know everything about protecting ourselves in a hostile online environment. Data breeches are on the rise and media hype makes it sound like everyone is out to get you. Unless you work in computer security it's hard to know the facts. This talk outlines the actual risks and simple steps you can take to protect yourself. </p> <p><b>HUGE thanks to our sponsor this month, <a href=""http://devbootcamp.com/"">Dev Bootcamp</a>!</b></p> <p><img src=""http://photos2.meetupstatic.com/photos/event/1/b/4/0/600_451926976.jpeg"" /></p> <p><br/>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p>• We'll announce topics for this month soon.</p> <p>• Every meetup begins with a ""looking for work"" or ""looking to hire"" open mic segment.</p> <p><b>•</b> The talks and resulting questions are always great, but if you have more to say (or just can't make it) chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>


<b><br/></b></p> <p>





<b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin (Web Design & Development Meetup),1468368000000
