applicable,male,female,nonBinary,desc,group,name,time
1,0,0,0,"<p>It's back: Your favorite SXSW party with no free drinks, no mandatory RSVPs, and no badge required! That's right, it's our eighth annual pre-SXSW lunch at B.D. Riley's. </p> <p>Drop in for a pint. Or stay for a bite, and hang out for a while. </p> <p>Everyone is welcome. This is <b>a casual come-and-go-as-you-please lunchtime event</b>. Some appetizers will be provided for the group, but you’ll need to pick up your own tab--or even buy a round for your new friends.</p> <p><b>Note that this meetup is during the day--and not on our typical second Tuesday. We'll be back to our regularly scheduled programming in April.</b></p> <p>------------------------------------------------------------------</p> <p><b>New to Refresh? Welcome! Refresh Austin is an organization of Web professionals working together to foster new ideas and refresh the creative, technical and professional aspects of their trade.</b></p> <p><b>A few quick things to get you started: </b></p> <p>• Join the conversation! Give us a shoutout on Twitter at <a href=""https://twitter.com/refreshaustin"">@RefreshAustin</a>. We're also on <b>Slack (</b><a href=""http://slack.refreshaustin.org/""><b><a href=""http://slack.refreshaustin.org/"" class=""linkified"">http://slack.refreshaustin.org/</a></b></a><b>)</b> and Google Groups (<a href=""http://groups.google.com/group/refresh-austin""><a href=""http://groups.google.com/group/refresh-austin"" class=""linkified"">http://groups.google.com/group/refresh-austin</a></a>).</p> <p><b>•</b> Chime in and follow along on Twitter at <a href=""https://twitter.com/search?q=%23refreshaustin&amp;src=typd&amp;vertical=default&amp;f=tweets"">#refreshaustin</a></p> <p>• All job-related posts should be made to the <a href=""https://groups.google.com/forum/?fromgroups#!forum/refresh-austin-jobs"">Refresh Austin Jobs Google Groups list</a> or in the appropriate <a href=""http://slack.refreshaustin.org/"">#Jobs Slack channel</a>.</p> <p>
 
 
 <b><br/></b></p> <p>
 
 
 
 
 
 <b><br/></b></p>",Refresh Austin (Web Design & Developer Meetup),Refresh Austin: SXSW kickoff lunch,1457715600000
0,0,0,0,"<p><b>PLEASE RSVP ON TICKETBUD</b><b> --&gt;</b><a href=""https://austinonrails.ticketbud.com/sxsw-web-developer-happy-hour-2016-d34639587df6"" class=""linkified"">https://austinonrails.ticketbud.com/sxsw-web-developer-happy-hour-2016-d34639587df6</a></p> <p>You're invited to the once a year extravaganza that is the... SXSW WEB DEVELOPER HAPPY HOUR!</p> <p>Please join us on the Monday of SXSW for good conversation, appetizers, and a night out without the laptop. Buffalo Billiards has tons of games, such as darts, billiards, and shuffleboard. </p> <p>We invited bonafide web geek and designer Alex Baldwin to DJ our event. It's easily the best party for the HTTP set. </p> <p><b>Web developers of all stripes are welcome!</b></p>",Refresh Austin (Web Design & Developer Meetup),[Cross-post] SXSW Web Developer Happy Hour 2016,1457996400000
0,0,0,0,"<p>Did you notice something special this month? Yes, we had SXSW descend upon Austin, but more importantly we have five whole Tuesdays! Let's celebrate by grabbing a pint at The Ginger Man and catching up with some of your favorite people. There's tons to chat about: your favorite SXSW panels or anti-SXSW activities; how do you and your company deal with central points of failure in your software build; what's your favorite strategy for dealing with your allergies. The topics are endless!</p> <p>New to Austin or haven't heard of a #BeerSummit? They started as a friendly way to avoid the never ending rabbit hole of Twitter discussions. After three or four replies back and forth on the same subject, someone could propose a #BeerSummit and all discussion had to stop. You couldn't start back up again until everyone had a pint (ale, beer, root beer, water, didn't matter) in their hands sitting around the same table. They've evolved into a simple way to gather the community to talk tech without a schedule.</p> <p>Swing by for as long as you'd like and buy pint for a friend old or new!</p>",Refresh Austin (Web Design & Developer Meetup),5th Tuesday #BeerSummit!,1459296000000
0,0,0,0,"<p>It's that time of year again, a month with an extra Tuesday in it! The 5th Tuesday of May we're going to gather at Wright Brother's Brew &amp; Brew to grab a cold brew or pint. We'll be gathering over in the gallery in the space just next to the main space, so grab a drink then head over and say hi!</p> <p>New to Austin or haven't heard of a #BeerSummit? They started as a friendly way to avoid the never ending rabbit hole of Twitter discussions. After three or four replies back and forth on the same subject, someone could propose a #BeerSummit and all discussion had to stop. You couldn't start back up again until everyone had a pint (ale, beer, root beer, water, didn't matter) in their hands sitting around the same table. They've evolved into a simple way to gather the community to talk tech without a schedule.</p> <p>Swing by for as long as you'd like and buy pint for a friend old or new!</p>",Refresh Austin (Web Design & Developer Meetup),5th Tuesday #BeerSummit!,1464739200000
0,0,0,0,"<p>We're taking a break from our normally scheduled programming on Election Day, and we want to encourage you to GO VOTE. We don't care who you vote for, so long as you do!</p> <p>While we're on the subject of the polls, <a href=""https://goo.gl/forms/9RidB7N7mQvPxz7G2"">we have a short survey for you to take while you're waiting in line to cast your vote</a>. </p> <p>If the line is even longer than our quick poll, then take the time to mark your calendars for two dates: </p> <p>• November 29: Fifth Tuesday; We'll have a Beer Summit at a location to be announced. Stay tuned.</p> <p>• December 13: The Austin Web Bash, or <a href=""https://www.facebook.com/hashtag/awbash"">#AWBASH</a>, holiday party is back! Every year, Refresh Austin hosts the to bring Austin's web and tech meetups together under one roof to celebrate the end of the year. If <a href=""mailto:[masked]"">you help run a meetup that you want to participate</a> or <a href=""mailto:[masked]"">you're with a company that wants to sponsor</a>, then let us know. </p>",Refresh Austin (Web Design & Developer Meetup),No Meetup November: GO VOTE,1478653200000
0,0,0,0,"<p>Guess what, y'all! November is one of those lucky months where we have a full 5 Tuesdays! You know what that means: it's time to get together, enjoy some frosty beverages, and visit in the time-honored tradition of #BeerSummit.</p> <p>This month we're meeting on the east side at The Dog &amp; Duck Pub. This is the new(ish) location over off of Webberville Road and not the one by campus.</p> <p>New to Austin or haven't heard of a #BeerSummit? They started as a friendly way to avoid the never-ending rabbit hole of Twitter discussions. After three or four replies back and forth on the same subject, someone could propose a #BeerSummit and all discussion had to stop. You couldn't start back up again until everyone had a pint (ale, beer, root beer, water, didn't matter) in their hands sitting around the same table. They've evolved into a simple way to gather the community to talk tech without a schedule.</p> <p>Swing by for as long as you'd like and buy pint for a friend old or new!</p>",Refresh Austin (Web Design & Developer Meetup),5th Tuesday #beersummit: November Edition,1480467600000
0,0,0,0,"<p>We're hosting a rather last minute get-together at Easy Tiger tomorrow. Stop by if you're in the area, grab a drink, and meet other LEAN enthusiasts from all over. We are restricted on space so please RSVP only if you can attend. (You don't need a SXSW badge)</p>",Austin Lean Startup Circle,SXSW Social,1457650800000
0,0,0,0,"<p><b>THERE WILL BE NO JAN 2016 WP ADVANCED DEV MEETUP! </b></p> <p>Our first 2016 WP ADV Dev Meetup will be Kicked off on Feb 2 by Zach Rothauser sharing some code and processes. </p> <p>In this focused front-end engineering session, we'll look at the new possibilities in web design using some of the newer CSS features. We’ll begin by taking a look how some basic layouts can immediately be improved with the new CSS grids, columns, and flexbox. We’ll then move on to using some of the more advanced features of flexbox to solve real world challenges.</p> <p><br/>This will be an Advance WordPress Developer Level Presentation. Our great sponsor WP Engine will provide munchies and soft drinks.</p>",The Austin WordPress Meetup Group,"Zack Rothauser: Modern CSS with Flexbox, Grids, and Columns",1454461200000
0,0,0,0,"<p>Automattic and Google are teaming up with the<a href=""http://www.aglcc.org/"">Austin Gay &amp; Lesbian Chamber of Commerce</a> on February 18, 2016. The event will help give Texan LGBT businesses and nonprofits the tools to accelerate their organizations.</p> <p>The event will offer 5 hours of educational content to help grow your organization</p> <p>Date: February 18, 2016 from 12:30 – 6:30 PM<br/>Location: <a href=""https://plus.google.com/+GoogleAustin/about"">Google AUS MOP</a>, 9606 N Mopac Expy #100, Austin, TX 78759</p> <p>5 hours of educational content to help grow your organization1:1 sessions with Google + Automattic expertsHappy hour + networking.</p> <p><b>Please Do Not Register on this meetup page.</b></p> <p><b>Register at: <a href=""https://accelerate.lgbt/events/austin/"" class=""linkified"">https://accelerate.lgbt/events/austin/</a></b></p>",The Austin WordPress Meetup Group,Special Event,1455820200000
0,0,0,0,"<p><i><b>CHANGE IN NORMAL WORDPRESS OFFICE HOURS SCHEDULE!</b></i></p> <p><i><b>Scheduling February Office Hours became problematic with several of our regular Word-Head volunteers are either out of town or tied up with previous commitments. </b></i></p> <p><i><b>Based on WordHead Volunteer availability Office Hours will be held the FIRST FRIDAY of March. </b></i></p> <p><i>Toyin Akinmusuru will once again open his HubAustin Coworking Space to host WordPress Office Hours.</i></p> <p>Our WPATX ""WordHeads"" will be available to answer questions and help solve site problems. Thinking of this time as an extension of the Q&amp;A time offered after our regular Austin WordPress meetups. </p> <p><br/>Come with your laptops and access yet another source of ""free"" WordPress advice within our growing Austin WordPress community. </p> <p>If you are a little further along in your WordPress Journey, please feel free to drop by and help someone else who is just learning. The more WPATX volunteers we have on hand the faster we can help our WP Office hour attendees get over the hump that has them stuck.</p> <p><b>We really need UX /UI 'Front-end volunteers as most of the questions these past few months have been centered on "" My theme won't....!"" </b></p> <p><b>Right now we are limiting Office Hours to 10 attendees.</b> </p> <p>If we get more WordHead Volunteers we will increase attendee number. </p> <p><br/>If you think you are ready to volunteer to help other WordPress users, please come and get your Word Head Help Hat on.</p> <p>We are looking forward to seeing you there. Thx - Sandi</p>",The Austin WordPress Meetup Group,WordPress Office Hours,1457118000000
0,0,0,0,"<p> Interested in hanging out with other WordPress Developers in a<i>""hive mind""</i> environment? Then this month's Developer's Coding Dojo is for you. </p> <p>There is no set topic or presenter — so bring your laptop, a coding project you have been putting off, and an appetite. Our Sponsor, WP Engine, will host the meeting and will be providing Pizza and soft drinks to keep our WPATX Devs fueled through the Coding Dojo.</p> <p>Come join us for some coding — this is a great opportunity to practice some WP code chops, and meet other WordPress Developers in our community. We hope to see you here. </p>",The Austin WordPress Meetup Group,Advanced WordPress Developer Dojo,1459900800000
